City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
353,Touros,BR,-5.2,-35.46,86.0,62,40,18.34,scattered clouds
354,Novosokolniki,RU,56.35,30.16,34.0,94,100,12.17,light snow
355,Mount Gambier,AU,-37.83,140.77,57.2,71,90,11.41,overcast clouds
356,Korla,CN,41.76,86.15,16.23,83,0,3.24,clear sky
357,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,80.83,73,13,12.62,few clouds
358,Kawambwa,ZM,-9.79,29.08,65.68,94,100,3.58,moderate rain
359,Golden,US,39.76,-105.22,37.99,32,0,3.0,clear sky
360,Ongandjera,NA,-17.88,15.07,77.5,51,100,11.01,overcast clouds
361,Montreal,CA,45.51,-73.59,26.01,68,90,14.99,snow
362,Cocorit,MX,27.58,-109.97,62.6,33,5,8.05,clear sky
363,Muli,MV,2.92,73.57,82.9,75,96,9.31,light rain
364,Alta Floresta,BR,-9.88,-56.09,83.59,77,79,2.35,moderate rain
